nid,id,Latitude,Longitude,Overall_Rating,Number_Reviews,Price_Levels,Food_Rating,Service_Rating,Value_Rating,Atmosphere,Name
1345,7144,50.609617,6.067495,4.5,25,2.5,5,5,4.5,4,"Liby's Beef-Club, Eupen"
1346,5058,50.610018,3.382876,4.5,209,4,4.5,4.5,4,4.5,"La Petite Madeleine, Tournai"
1347,5159,50.610092,3.3932,3.5,60,2.5,3.5,3.5,3.5,3.5,"Le Sumo, Tournai"
1348,5138,50.610191,3.393335,4,37,1,4,4,4.5,4,"Le Cleopatra, Tournai"
1349,10835,50.610284,5.319301,4,13,2.5,3.5,3.5,4,NA,"Terra Nostra, Verlaine"
1350,5165,50.610313,3.3935,3.5,14,9,3.5,3.5,4,3,"Via Reale, Tournai"
1351,3598,50.610323,5.614149,4,14,9,4.5,4.5,4.5,4,"Tabarka, Liege"
1352,5132,50.610764,3.38576,4,39,2.5,4,4,4,4,"Agadir, Tournai"
1353,5110,50.610891,3.38833,4,57,2.5,4,4,4,4.5,"Saint Germain, Tournai"
1354,10057,50.610921,4.45062,3.5,79,2.5,3,3.5,3,4,"Cafe de la Lanterne, Genappe"
1355,5103,50.611366,3.400433,3.5,88,2.5,3.5,3.5,3,3,"L'Ancienne Poste, Tournai"
1356,9538,50.611602,5.66908,4.5,13,9,4.5,4.5,4.5,4.5,"Saveur du Jour, Fleron"
1357,10055,50.611792,4.451141,4,21,9,4.5,4.5,4,5,"Madame Oleson, Genappe"
1358,7149,50.611941,6.047104,4.5,17,2.5,4.5,4.5,4.5,4.5,"Meeting Point, Eupen"
1359,5070,50.612028,3.397587,4.5,94,2.5,5,4.5,4.5,4.5,"Le Grand Jacques, Tournai"
1360,10413,50.612209,5.939673,4.5,42,2.5,4.5,4.5,4,4,"Brasserie St-Georges, Limbourg"
1361,9233,50.612389,5.746791,3,103,9,3,3,3,2.5,"La Plume, Soumagne"
1362,6961,50.612549,5.512164,5,45,9,5,5,4.5,4.5,"Bocalino, Seraing"
1363,5157,50.612765,3.394569,4,29,9,4.5,3.5,3.5,4,"Chez Pietro, Tournai"
1364,5094,50.612839,3.396808,4.5,60,9,4.5,4.5,4.5,4,"Chez Cheng, Tournai"
1365,7554,50.613004,3.796065,4.5,38,2.5,4.5,4.5,4.5,NA,"Le Piree, Ath"
1366,6078,50.613408,4.353524,4,39,9,4,4,3.5,4,"Le Vieux Marronnier, Nivelles"
1367,6167,50.613622,5.838808,4,32,2.5,4.5,4,4,3.5,"Au Petit Nico, Verviers"
1368,9536,50.613991,5.686883,4,40,9,4,4,4,4,"Le Bay Bonnet, Fleron"
1369,9615,50.614329,5.591553,3,54,2.5,3,3,3,3,"Le vaudree, Angleur"
1370,6157,50.614477,5.835694,4.5,80,4,4.5,4.5,4.5,4.5,"La Chapellerie, Verviers"
1371,9533,50.614537,5.683134,5,64,2.5,5,5,4.5,NA,"Hollywood Burger, Fleron"
1372,3666,50.6147065,5.6863471,3,15,2.5,3.5,2.5,3.5,2.5,"Sogno d'Italia, Liege"
1373,9540,50.614712,5.686351,2.5,28,9,3.5,3.5,4,3,"Le Delizie, Fleron"
1374,9534,50.614739,5.682097,4.5,57,9,4.5,4,4,4,"Il Gio, Fleron"
1375,7153,50.614828,6.038347,4,15,2.5,4.5,4,4,3.5,"Zum Stiefel, Eupen"
1376,6979,50.615016,5.501702,3.5,54,1,3.5,3,3.5,3,"Keyaki, Seraing"
1377,6970,50.615811,5.510857,4,59,2.5,4,4,4,4.5,"Le Sultan, Seraing"
1378,6982,50.616034,5.510721,3.5,21,9,3.5,3.5,3,3,"La grande taverne, Seraing"
1379,7571,50.616075,3.790207,3,44,2.5,3,3,3,3,"Don Giovanni, Ath"
1380,8583,50.616493,4.138099,4,13,9,3.5,4.5,4,4,"L Assiette Gourmande, Braine-Le-Comte"
1381,6981,50.616901,5.498626,3.5,47,9,3.5,3,3.5,3,"Dragon Wok, Seraing"
1382,6053,50.617364,4.342103,4,160,2.5,4,4,4,3.5,"Maximus, Nivelles"
1383,6077,50.61752,4.30281,4,20,2.5,4,4,4,4.5,"Golf Chateau de la Tournette, Nivelles"
1384,10029,50.617617,5.523782,4,49,4,4,4,3.5,4,"Chez Massimo, Saint Nicolas"
1385,5122,50.619609,3.370085,4.5,22,9,5,4.5,4.5,4.5,"Enzo, Tournai"
1386,8641,50.621479,5.779975,3.5,38,9,4,3.5,3.5,3.5,"Aux Etangs de la Vieille Ferme, Herve"
1387,3542,50.6216332,5.5891166,4,38,9,3.5,3.5,4,3.5,"La Mere Berthe, Liege"
1388,7561,50.621829,3.76648,3.5,46,9,3.5,4,3.5,3,"Le Florentin, Ath"
1389,10329,50.621835,5.655219,4.5,36,9,4,4,4.5,4.5,"Belmonte 2, Beyne-Heusay"
1390,10330,50.621864,5.654958,4,35,9,4.5,4.5,4,4,"Estancia de la Vaca, Beyne-Heusay"
1391,3451,50.6219457,5.5935606,4,65,2.5,4.5,4.5,4,4,"Le Cheverny, Liege"
1392,7157,50.622229,6.03925,3.5,19,9,4,3.5,3.5,3,"Le Gourmet - Ambassador H, Eupen"
1393,7140,50.62223,6.038975,4.5,72,2.5,4.5,4.5,4.5,4.5,"Vise, Eupen"
1394,3656,50.6225355,5.5921343,3.5,13,9,3.5,3.5,4,3,"Poivre & Sel Boulevard de l'Automobile, Liege"
1395,3551,50.622545,5.5717715,4,60,2.5,4.5,4.5,4.5,4,"La Traviata, Liege"
1396,3514,50.6229961,5.5857082,4,26,9,4,4,4.5,4,"Wok Chez Jin, Liege"
1397,10361,50.624383,4.815067,4.5,42,2.5,4.5,4,4.5,3.5,"Le 1900, Perwez"
1398,3555,50.6245024,5.5581998,4,24,9,4,4,4.5,3.5,"Le Shansui, Liege"
1399,8633,50.62476,5.833717,4,94,9,4,4,4,4,"La table de Lea, Herve"
1400,10362,50.625334,4.807135,4,111,4,4,4,3.5,3.5,"La Frairie, Perwez"
1401,7792,50.625369,5.177485,4,52,2.5,4,4,4,4,"La Goutte, Hannut"
1402,10360,50.625462,4.811454,4.5,20,2.5,4.5,4.5,4.5,NA,"Pizzeria Inn, Perwez"
1403,6080,50.625601,4.329836,3.5,42,2.5,3.5,4,3.5,4.5,"The Circuit, Nivelles"
1404,6158,50.625897,5.885564,4,114,4,4.5,4,4,3.5,"La Bergerie, Verviers"
1405,3446,50.626553,5.5661424,4,250,2.5,4,4,3.5,3.5,"Au Concordia, Liege"
1406,3403,50.626604,5.565544,4,228,2.5,4,4,3.5,4,"Grand Cafe de la Gare, Liege"
1407,3672,50.6266977,5.5663839,3,21,9,3,3.5,4,2,"Mac Lam, Liege"
1408,3638,50.6267177,5.5666147,3.5,44,2.5,3.5,3.5,3.5,3,"Taverne de l'univers, Liege"
1409,7143,50.626903,6.04363,4,43,2.5,4,4.5,4,4.5,"Lighthouse, Eupen"
1410,7572,50.627015,3.77229,3,159,2.5,3,3,3.5,3,"La Trattoria, Ath"
1411,3388,50.627258,5.5650523,4.5,115,2.5,4.5,4.5,4,4,"Namaste India, Liege"
1412,3527,50.6273933,5.5672504,4,51,2.5,4.5,3.5,4,3.5,"Meechai, Liege"
1413,9235,50.627464,5.7242,3.5,35,9,3.5,3.5,3.5,3.5,"Osaka, Soumagne"
1414,3397,50.6280554,5.5674353,4.5,147,4,4.5,4,4.5,4,"frederic maquin, Liege"
1415,3668,50.6283418,5.5865151,3,59,1,3,3,3.5,3,"Le Wok d'Asie, Liege"
1416,3605,50.6283831,5.5673217,3.5,75,2.5,3.5,3.5,3.5,3.5,"Feng Ling, Liege"
1417,10028,50.628625,5.543983,4,53,1,4,4,4,4,"Youyou, Saint Nicolas"
1418,7556,50.628823,3.780491,4.5,27,2.5,4.5,4.5,4.5,NA,"Chez Olympe, Ath"
1419,3571,50.6290431,5.6244967,3.5,26,9,3.5,4,3.5,NA,"La Charnale, Liege"
1420,11032,50.629805,5.975022,4.5,29,2.5,4.5,4,4,4,"9restaurant, Baelen"
1421,7559,50.630071,3.776173,4,48,9,4,4,3.5,4,"Le Jardin d'Italie, Ath"
1422,3413,50.6301789,5.5865893,4.5,115,2.5,4.5,4.5,4.5,4.5,"Pasta e basta, Liege"
1423,7150,50.63052,6.03157,4,22,2.5,3.5,3.5,4,3.5,"Le Palais, Eupen"
1424,7156,50.630544,6.03186,3.5,30,2.5,4,4,3.5,4,"Paparazzi, Eupen"
1425,10344,50.630933,5.837335,4.5,51,2.5,5,4.5,4.5,4.5,"Pastissimo, Battice"
1426,9227,50.631072,5.734838,4.5,33,9,4.5,4.5,4,4.5,"L'Anecdote, Soumagne"
1427,7549,50.631113,3.776485,4.5,96,2.5,4,4,4,4,"Viandes etc..., Ath"
1428,3692,50.6311265,5.5743027,3,11,9,3.5,4,3,3,"Bistro du Palais, Liege"
1429,3412,50.6312654,5.5639941,4.5,113,2.5,4.5,4.5,4.5,4.5,"Tout Simplement, Liege"
1430,9229,50.631559,5.737138,4.5,12,9,4.5,4,4.5,NA,"Le bar a pates de Carmelo, Soumagne"
1431,7552,50.631625,3.775903,4,105,4,4.5,4,3.5,4,"Chez Pino, Ath"
1432,7145,50.631826,6.034683,4.5,23,4,4.5,4.5,4,NA,"Couleur Rouge, Eupen"
1433,3687,50.6319551,5.5801465,3,65,2.5,3,3,2.5,3,"Chi-Chi's, Liege"
1434,7142,50.632043,6.035545,4,65,2.5,4.5,4,4,4,"La Bottega, Eupen"
1435,3600,50.6324732,5.5469073,3.5,70,9,3.5,3.5,3.5,4,"Quebec cafe, Liege"
1436,9225,50.63257,5.733816,4,190,2.5,4,4,4,3.5,"The Huggy's Bar, Soumagne"
1437,3509,50.6327172,5.5646475,4,84,4,4,4,3.5,4,"SOTTOPIANO, Liege"
1438,3589,50.6328437,5.5663834,4,29,2.5,4.5,3.5,4,4,"Les Belles Gourmandes, Liege"
1439,3429,50.6329193,5.5665627,4.5,44,9,4.5,4.5,4,4.5,"La Cour des Grands, Liege"
1440,3579,50.6331837,5.5684696,4,17,9,4,4,4.5,4.5,"Mad Cafe, Liege"
1441,3635,50.6333348,5.571565,3,183,2.5,3.5,3,3,3.5,"La Capitainerie, Liege"
1442,3674,50.6337978,5.5671983,3,18,4,3,3,3,3,"Tentation, Liege"
1443,5101,50.634021,3.354848,4,68,9,4,4,4,4,"Ming Dynasty, Tournai"
1444,3438,50.6350392,5.5654288,4,55,2.5,4,4,4,4.5,"Le Cygne D'argent, Liege"
1445,9245,50.635066,4.254432,3.5,127,2.5,4,3.5,3.5,3.5,"A Casa Vostra, Ittre"
1446,3626,50.6350818,5.5675509,4,21,4,4,4,4,4,"L'air emu, Liege"
1447,3424,50.635239,5.569472,4.5,63,2.5,4.5,4.5,4.5,NA,"Les Terrasses, Liege"
1448,3613,50.6355115,5.5672596,4,13,2.5,4.5,4,4,4,"Taverne d'Avroy, Liege"
1449,5137,50.635841,3.394575,4,17,2.5,4,4,4,4.5,"Les Cinq Clochers, Mont Saint-Aubert"
1450,3517,50.6358584,5.5802278,4.5,16,9,5,4.5,4.5,NA,"Il Bacio, Liege"
1451,7569,50.635899,3.774267,3,81,1,3,3,3.5,3.5,Ath Woktime
1452,3530,50.6360489,5.5797312,4.5,11,9,4.5,4.5,5,5,"De Yuan, Liege"
1453,3572,50.6361504,5.5799213,4,23,9,4,4,4,4,"La Vita Da Billy, Liege"
1454,3433,50.6362122,5.5798564,4,112,2.5,4.5,4,4,4,"Al piccolo mondo, Liege"
1455,7148,50.636287,6.038941,4,46,1,4,4,4.5,3.5,"Mesopotamia, Eupen"
1456,5166,50.636367,3.352255,3,22,9,3,3.5,3,4.5,"Le Petrus, Tournai"
1457,3689,50.6365753,5.5674265,3,50,2.5,3,3,3,2.5,"Il carretino siciliano, Liege"
1458,8638,50.63686,5.764669,4,15,9,4,3.5,4,NA,"La Commedia, Herve"
1459,3507,50.6369006,5.5875879,4,49,1,4,3,4,3.5,"Boulangerie, Liege"
1460,8635,50.636943,5.765843,4,55,9,4,3.5,3.5,4,"Brasserie des Etangs, Herve"
1461,10898,50.637104,4.780627,3.5,67,2.5,4,4,4,3.5,"la ville de Wavre, Thorembais-Saint-Trond"
1462,3486,50.6372863,5.5791251,4,42,1,4.5,4.5,4.5,4.5,"Friterie Restaurant Du Longdoz, Liege"
1463,9892,50.637838,4.613,4,51,2.5,4,3.5,3.5,3.5,"Comme Chez Vous, Mont Saint Guibert"
1464,3645,50.638198,5.5635986,3.5,29,2.5,3,3,3.5,2.5,"Vaudree II, Liege"
1465,3518,50.6383399,5.5696632,4,44,2.5,4,4.5,4.5,4,"Le Koliba, Liege"
1466,3535,50.6384214,5.5641845,4,28,9,4.5,4,4.5,4,"Il Crostini, Liege"
1467,3618,50.6384534,5.5733012,4.5,12,9,4.5,4.5,4.5,4.5,"cinecitta, Liege"
1468,3436,50.638529,5.5697343,4,90,2.5,4,4.5,3.5,4,"El Mosquito, Liege"
1469,3597,50.6385316,5.569618,3.5,95,2.5,3.5,3.5,3.5,3.5,"La fortuna del quadrifoglio, Liege"
1470,3649,50.6385634,5.5698185,3.5,104,9,3.5,3.5,3,3,"LE BAR A GOUTS, Liege"
1471,3422,50.6385649,5.570737,4.5,95,2.5,4.5,4,4.5,4,"Gusto Pasta Bar, Liege"
1472,7155,50.638591,6.017972,3,22,1,3,3.5,3.5,3.5,"Lunch Garden, Eupen"
1473,7154,50.638662,6.017233,3.5,19,1,3.5,4,4,3.5,"Hong Fu, Eupen"
1474,3462,50.6386629,5.57121,4,99,2.5,4,4,3.5,3.5,"Telle mere telle fille, Liege"
1475,3464,50.6386897,5.571066,4.5,84,9,4.5,4,4.5,4,"Les folies gourmandes, Liege"
1476,8640,50.638724,5.784487,4.5,19,2.5,4.5,4,4.5,3.5,"Vins et saveurs d'italie, Herve"
1477,3557,50.6389246,5.5702972,4.5,17,9,4.5,4.5,4.5,5,"Le Casse Du Siecle, Liege"
1478,8631,50.638935,5.780919,4,43,9,4,3.5,3.5,NA,"L'inizio, Herve"
1479,3592,50.6390592,5.5853958,4,46,1,4,4,4,3.5,"Da Victoria, Liege"
1480,3658,50.6393263,5.5735216,3,63,2.5,3.5,3,3.5,3.5,"Wine Note, Liege"
1481,3465,50.6393812,5.5728688,4,63,1,4.5,3.5,4,4,"Le Dernier Ragot, Liege"
1482,3454,50.6393948,5.5684412,4.5,35,1,4.5,5,4.5,NA,"MESSIEURS, Liege"
1483,3526,50.6394806,5.573384,4,51,2.5,4,4,4,3.5,"Rive Gauche, Liege"
1484,3544,50.6395559,5.5733142,3.5,69,1,3.5,4,4,3.5,"Le Grill Saint Paul, Liege"
1485,3637,50.6395901,5.5684101,3.5,26,2.5,3.5,3.5,3,1,"Spooon Fusion-Thai-Vege, Liege"
1486,3458,50.6395906,5.5737718,4.5,40,1,4,4.5,4,4.5,"Get Your Mug, Liege"
1487,3577,50.6396361,5.5817728,4,79,2.5,4,3.5,4,3.5,"Labien Thai snc, Liege"
1488,5149,50.639641,3.373544,4,54,9,4,4,4,4,"Au Sabot, Tournai"
1489,3479,50.6396522,5.5824147,4,37,2.5,4.5,4.5,4,4.5,"Metisse, Liege"
1490,3476,50.6396596,5.5738323,4,77,2.5,4,4,3.5,4,Indian taste liege
1491,3389,50.6396624,5.569805,4.5,140,4,4.5,4.5,4.5,4,"Terra Terrae, Liege"
1492,8632,50.639668,5.794141,4.5,40,1,4.5,4.5,4.5,4.5,"Pizzeria Piccola Italia, Herve"
1493,3460,50.6396787,5.5715106,3.5,156,2.5,4,4,3.5,3.5,"Moment, Liege"
1494,3533,50.6396943,5.5752033,4.5,19,2.5,4,3.5,3.5,NA,"L'Etruria, Liege"
1495,3660,50.6397758,5.5824826,4,13,9,4,4,4,4,"L'alize, Liege"
1496,3650,50.6397936,5.5677449,3.5,33,1,3.5,3,3.5,3,"Aux Pates Fraiches, Liege"
1497,3459,50.6398082,5.5743014,4.5,71,9,4.5,4.5,5,4,"L'Amarante, Liege"
1498,3616,50.6398999,5.5744956,3.5,31,9,3.5,3.5,3.5,4.5,"Saga Cafe Wine Bar, Liege"
1499,3493,50.6399566,5.5729397,3.5,122,2.5,3.5,3.5,3.5,3.5,"La Main a la Pate, Liege"
1500,3643,50.6399703,5.5826477,3.5,21,9,3.5,3.5,3.5,NA,"L'entracte Gourmande, Liege"
1501,3463,50.6399812,5.5818455,4.5,55,1,4.5,4.5,4.5,3.5,"Le Mekong, Liege"
1502,3382,50.6399884,5.5683222,4.5,183,2.5,4.5,4.5,4.5,4.5,"Punto e Pasta, Liege"
1503,3511,50.6400477,5.5728374,3.5,62,2.5,4,4,3.5,3.5,"Septime, Liege"
1504,3639,50.640105,5.5827381,3.5,24,9,3.5,3.5,3.5,4.5,"La Divina, Liege"
1505,3427,50.6401172,5.5690024,4,109,2.5,4,4,4,NA,"Yukinii, Liege"
1506,3678,50.6401463,5.5727266,3.5,47,2.5,3,4,3,3,"Le Quartier Latin, Liege"
1507,3690,50.6402469,5.5689831,3,17,9,3.5,3,3.5,3.5,"Point Chaud, Liege"
1508,3414,50.640275,5.569055,4,128,2.5,4,4.5,4,4,"Le Regina, Liege"
1509,3696,50.6403481,5.5692419,2.5,32,2.5,2.5,2.5,3,2.5,"Village d'Asie, Liege"
1510,3545,50.6404537,5.5829766,4,23,9,4.5,4,4.5,3,"La Fantasia, Liege"
1511,3417,50.6404946,5.5810657,4,125,2.5,4,4,4,4,"Taverne Tchantches et Nanesse, Liege"
1512,3519,50.6405106,5.5830145,4.5,21,9,4.5,4.5,5,5,"Vitez, Liege"
1513,3688,50.6405249,5.5644998,3.5,37,2.5,4,4,4,4,"Les Saintes Cheries, Liege"
1514,3620,50.64057,5.57345,3.5,90,2.5,3.5,3.5,3,3,La Cite du Dragon Liege
1515,3490,50.6405911,5.5650671,4,93,2.5,4,3.5,4,3.5,"Le Numidie, Liege"
1516,3522,50.6405945,5.5698865,4,44,2.5,4,3.5,3.5,3.5,"Ty Breizh, Liege"
1517,3521,50.6406071,5.5684511,4,57,2.5,4,3.5,3.5,3,"Le Celtic / Urban Pub, Liege"
1518,3686,50.6406526,5.5679941,3,53,1,3,3.5,3,3.5,"Little Italy, Liege"
1519,3628,50.6406985,5.5724183,3.5,18,2.5,3.5,4,3.5,3,"Au Tableau qui Dit des Betises, Liege"
1520,3564,50.6407075,5.5666571,4.5,18,9,4.5,4.5,4.5,4.5,"Amour Maracas Et Salami, Liege"
1521,3504,50.6407417,5.5676822,4,18,9,4,4,4,NA,"Apero Dinatoire, Liege"
1522,3472,50.6407571,5.5678569,4.5,16,2.5,4.5,4,4.5,NA,"Sushi Maison, Liege"
1523,3683,50.6408553,5.5705609,3,43,1,3,3,3,3.5,"Chez Victor, Liege"
1524,3552,50.6408769,5.5681008,4,71,4,4,4,3.5,4,"The Kitchen, Liege"
1525,3501,50.6409088,5.5700046,3.5,197,2.5,3.5,3.5,3.5,3.5,"I Giardini, Liege"
1526,3675,50.6409219,5.5707263,3,79,2.5,3,3,3,3.5,"Danish Tavern's, Liege"
1527,3586,50.6409945,5.5683588,4,18,1,3.5,3.5,3.5,4,"Le Gourmandier, Liege"
1528,3546,50.6410413,5.5698743,3.5,70,2.5,4,3.5,4,3.5,"Piper's 2, Liege"
1529,3395,50.6410419,5.5716779,4,348,2.5,4,4,3.5,3.5,"Shanghai, Liege"
1530,10467,50.641046,4.362813,3.5,94,2.5,3.5,3.5,3,3.5,"La vache sur le toit Lillois, Lillois-Witterzee"
1531,3565,50.6411483,5.5686783,4,25,9,4,4.5,4.5,3,"La Perle d'Asie, Liege"
1532,3655,50.6411895,5.5715399,3.5,11,2.5,3.5,3.5,3,3,"New Cecile, Liege"
1533,3497,50.641202,5.5672726,3,646,2.5,3.5,3.5,3,3,"Bruit qui court, Liege"
1534,3595,50.6412212,5.5744749,3.5,29,2.5,4,3,4,3,"City Sushi, Liege"
1535,3647,50.6415883,5.5750408,3.5,56,2.5,3.5,3,3.5,3,"Le Phenicien, Liege"
1536,3381,50.6415897,5.5685528,4.5,130,2.5,4.5,4.5,4.5,4,"La Roussette de Savoie, Liege"
1537,3553,50.6415942,5.5695935,3.5,49,2.5,4,3.5,3.5,NA,"Bar Carlsberg, Liege"
1538,3470,50.6416039,5.5711418,4,92,2.5,4,4,4,4,"La Strada, Liege"
1539,3543,50.6416608,5.5838599,4,23,2.5,4,3.5,4,NA,"La Cene, Liege"
1540,3386,50.6416815,5.5753431,4.5,125,2.5,4.5,4.5,4.5,4,"L'olivin, Liege"
1541,3411,50.6416818,5.5692393,4,181,2.5,4,4,4,4,"Le Zocco Chico, Liege"
1542,10468,50.641722,4.363629,3.5,18,2.5,4,3,4,4,"Del Castello, Lillois-Witterzee"
1543,3684,50.6417525,5.5691677,3,130,2.5,3,3,3.5,3.5,"Il Babylo's, Liege"
1544,3588,50.6417538,5.5738873,4,67,2.5,4.5,3.5,3.5,4,Poivre et Sel Liege
1545,3523,50.6417597,5.5725081,4,33,2.5,4,4,3.5,4.5,"San Daniele, Liege"
1546,3384,50.6418232,5.5690962,4.5,441,2.5,4.5,4.5,4.5,4.5,"Les Sabots d'Helene, Liege"
1547,3528,50.641923,5.5723731,4.5,13,2.5,5,5,5,4.5,"Glace & Moi, Liege"
1548,3379,50.642105,5.5722249,4.5,404,2.5,4.5,4.5,4,4,"La Maison Leblanc, Liege"
1549,3505,50.6421375,5.5687377,4,80,2.5,4,4.5,4,4,"Le Grec, Liege"
1550,3644,50.6421418,5.5721965,3.5,15,9,3,3,3,NA,Burgers Point Liege
1551,3590,50.6421599,5.5336752,4.5,12,1,4.5,4,4.5,4,"OBA, Liege"
1552,3450,50.6422357,5.5682516,4,131,2.5,4,3.5,3.5,3.5,"Cucinella, Liege"
1553,8636,50.642255,5.791241,4,44,2.5,4,4,4,4,"Quai des Champs, Herve"
1554,3468,50.6422693,5.5685738,4,91,2.5,4,4,3.5,4,"Maharaja Palace, Liege"
1555,3482,50.6423236,5.5699201,4,105,4,4,4,3.5,4,"Chez Silvano, Liege"
1556,3391,50.6423272,5.5685018,4,247,2.5,4.5,4,4,4,"L'Enoteca, Liege"
1557,3611,50.6423272,5.5685018,3.5,37,2.5,4,3.5,3.5,3,"Wang SPRL, Liege"
1558,3582,50.6423317,5.5687772,4,15,9,4,4,4,NA,"Sapore'm, Liege"
1559,3608,50.6423317,5.5687772,4,15,9,4,3.5,3.5,3,"Spooon & Wines, Liege"
1560,3455,50.6423557,5.568571,4.5,55,9,4.5,5,4.5,4.5,"Frenz Tasty Bar, Liege"
1561,3630,50.6424261,5.5655899,3.5,38,2.5,4.5,4,3.5,4,"Thai Light, Liege"
1562,3485,50.6425436,5.5692973,4.5,23,2.5,4,4.5,4,4,"Le Verre Bouteille, Liege"
1563,3622,50.6425693,5.5769551,4,14,9,4,4,3.5,5,"La Parra, Liege"
1564,3435,50.6426135,5.580364,4,102,2.5,4,4,4.5,3.5,"Chez Rabah, Liege"
1565,3554,50.6426398,5.5740083,4.5,33,1,4.5,4,4.5,4.5,"Le Regence, Liege"
1566,3625,50.6429946,5.5683042,3.5,62,1,3,3,3.5,4,"Brasserie du Sauveniere, Liege"
1567,3580,50.6430588,5.5803789,4,13,9,4,3.5,4,3,"Le Berbere, Liege"
1568,3695,50.6430633,5.5509572,2,17,9,2.5,2,2,2.5,"Hotel Campanile, Liege"
1569,3681,50.6431477,5.57243,3,11,2.5,3.5,3,3,NA,"Le Foch, Liege"
1570,3570,50.6432185,5.5691412,3.5,44,2.5,4,3.5,3.5,4,"Trattoria Da Pino, Liege"
1571,3677,50.6433824,5.5725908,3,16,1,3,3.5,2.5,3,"Pizza Hut, Liege"
1572,3560,50.643442,5.5737463,3.5,108,2.5,3.5,3.5,3,4,"La Cantina, Liege"
1573,3691,50.6434588,5.5860617,2.5,21,1,3,3,3,3,"Cote cour, cote jardin, Liege"
1574,8572,50.643543,4.156083,4.5,64,2.5,4.5,5,4.5,4.5,"Le Votre, Braine-Le-Comte"
1575,3461,50.6436532,5.5753112,4.5,40,2.5,4.5,4.5,4.5,5,"Mandibule En Roue Libre, Liege"
1576,3407,50.6436863,5.5752681,4,146,2.5,4,4.5,4,4.5,"La Fontaine D'Athena - Chez Dimitri, Liege"
1577,3578,50.6438236,5.5750892,4,67,2.5,4,4,4,4,"L'Officina, Liege"
1578,3624,50.6438271,5.5750846,3.5,51,1,3.5,3.5,4,3.5,"Chez Philippou, Liege"
1579,3495,50.64389,5.56436,4,127,4,4,3.5,3,3.5,"le jardin des begards, Liege"
1580,3398,50.6439183,5.5759388,4,134,2.5,4.5,4.5,4,4,"Asti, Liege"
1581,5130,50.644024,3.27615,4,37,9,4,3.5,3.5,3,"Les P'tits Bonheurs, Templeuve"
1582,8545,50.644143,5.50501,4,12,9,4,4.5,4,NA,"Chez Antoine, Grace-Hollogne"
1583,3409,50.6442042,5.5755963,4,185,2.5,4.5,4,4.5,4,"Alla Grappa Pizza, Liege"
1584,3418,50.6442187,5.5777915,4,83,2.5,4,4.5,4,4,"Les Caves du Portugal, Liege"
1585,3559,50.6442454,5.5684619,4,29,9,4.5,4.5,4.5,4,Y-Sing Liege
1586,3416,50.6442458,5.5684689,4.5,69,2.5,4,4,4,4,"O' Sole Mio, Liege"
1587,10365,50.64454,4.768819,3.5,45,2.5,3.5,3.5,4,4,"Pepe Cafe, Perwez"
1588,10466,50.644628,4.366245,4.5,36,2.5,4.5,4.5,4.5,4.5,"Il Tempo Di ..., Lillois-Witterzee"
1589,3680,50.6446382,5.5773785,3,18,9,3,3,3.5,NA,"Que Bueno, Liege"
1590,3536,50.6448258,5.5699798,4,38,2.5,4,4,4,4.5,"La Bouffonnerie, Liege"
1591,3515,50.6449768,5.5769663,4.5,14,9,4.5,4.5,4,3.5,"Uguzon, Liege"
1592,3489,50.6450461,5.5677188,3.5,174,2.5,3.5,3.5,3,4,"O Cocottes, Liege"
1593,3431,50.6450771,5.5762965,4,165,2.5,3.5,3.5,3.5,4,"La Maison du Peket, Liege"
1594,3408,50.6451408,5.5782465,4.5,87,2.5,4.5,4,4,4,"Le Bar a Boeuf, Liege"
1595,3652,50.6451663,5.5752295,3.5,29,2.5,3.5,4,3.5,4,"Le Plaza, Liege"
1596,3606,50.6452531,5.5682674,4,12,9,4.5,3.5,4,NA,"Pizzeria a Papa, Liege"
1597,3394,50.645283,5.5779907,4.5,188,2.5,4.5,4.5,4,4.5,"Chez Nathalie, Liege"
1598,3430,50.6452856,5.576091,4.5,74,2.5,4,4,4,4,"BeerLovers' Cafe & Shop, Liege"
1599,3670,50.6452856,5.576091,3.5,15,9,4,4,4,3.5,"C Comme, Liege"
1600,3539,50.6453753,5.5778724,4.5,13,9,4.5,4.5,4.5,NA,"K-Fee, Liege"
1601,3593,50.6454669,5.5779195,3.5,126,2.5,4,3.5,3.5,3.5,"L'Alter Ego, Liege"
1602,3426,50.6455099,5.5754808,4,112,2.5,4.5,4,4,4,"Vin sur Vin, Liege"
1603,3596,50.6455617,5.5756443,3.5,63,2.5,3.5,3.5,3,3.5,"La Valaisanne, Liege"
1604,3402,50.6456155,5.5758172,3.5,578,2.5,4,4,3.5,3.5,"As Ouhes, Liege"
1605,3634,50.6456598,5.5764981,3.5,13,2.5,4,3.5,4,2.5,"Cosmopolitan Cafe, Liege"
1606,3602,50.6456804,5.5760593,3.5,60,2.5,3.5,3.5,3.5,3.5,"A Pilori Taverne, Liege"
1607,3583,50.6457453,5.5763014,4,15,2.5,4,4.5,4,4,"Chez Bolas Bug, Liege"
1608,7568,50.64577,3.706858,3.5,15,9,4,3.5,4,4,"Le Pegase, Ath"
1609,3532,50.6457822,5.5764686,3.5,115,9,3.5,3.5,3.5,4,"La Bodega, Liege"
1610,3453,50.6458086,5.6033367,4.5,39,2.5,4.5,4.5,4.5,4,"Chez Caruso, Liege"
