nid,id,Latitude,Longitude,Overall_Rating,Number_Reviews,Price_Levels,Food_Rating,Service_Rating,Value_Rating,Atmosphere,Name
61,7413,49.791435,5.067029,4,68,2.5,4,4,4,4.5,Brasserie Bouillon
62,7417,49.791941,5.065862,3.5,229,2.5,3.5,4,3,3.5,"Le Roy de la Moule, Bouillon"
63,7407,49.792291,5.066237,4,75,2.5,4,4.5,4,3.5,"Chez Betty, Bouillon"
64,7409,49.79242,5.066291,4.5,96,2.5,4.5,4,4.5,4,"Les Remparts, Bouillon"
65,7426,49.793294,5.067128,3,44,2.5,2.5,2.5,2.5,2,"Trident, Bouillon"
66,7420,49.79369,5.067711,3.5,34,2.5,4.5,4,4,3.5,"Le Majestic, Bouillon"
67,7418,49.793931,5.067855,4,33,1,4,4,4,3,"The Beetle, Bouillon"
68,7406,49.794801,5.069454,4.5,164,2.5,4.5,4.5,4,4,"Le Mont-Blanc, Bouillon"
69,7419,49.795702,5.070185,4,113,2.5,4.5,4.5,4,4.5,"Le Windsor, Bouillon"
70,7429,49.79657,5.070995,2.5,66,2.5,3,2.5,3,NA,"La Tannerie, Bouillon"
71,7415,49.796991,5.076201,4,50,4,4,4,3.5,4,"La Ferronniere, Bouillon"
72,11065,49.797413,5.006981,4,24,2.5,4,4,4.5,NA,"Le Relais, Corbion sur Semois"
73,11068,49.831454,5.055353,4.5,39,2.5,4.5,4.5,4.5,4,"La Grange Aux Saveurs, Ucimont"
74,9168,49.83783,5.455336,4.5,13,1,4.5,4,4.5,5,"Chez Mimil, Neufchateau"
75,10648,49.840006,5.004749,3.5,60,2.5,3.5,3,3.5,3.5,"Au Point de Vue, Rochehaut"
76,10647,49.840396,5.005834,4.5,31,9,4,4.5,4,4,"L'An 1600, Rochehaut"
77,9173,49.840684,5.424377,3.5,14,9,5,4,4.5,5,"Cap Au Vert, Neufchateau"
78,9169,49.840754,5.434786,4,13,9,4,4,4,3.5,"Grande Muraille, Neufchateau"
79,9174,49.840819,5.429414,3,40,2.5,3,2.5,3,3,"L'Ardoise, Neufchateau"
80,9166,49.840902,5.43612,4.5,11,9,4.5,4.5,4.5,NA,"Au Chest'Book, Neufchateau"
81,9162,49.841263,5.436548,4.5,21,9,4.5,4.5,4.5,NA,"Le P'tit 13, Neufchateau"
82,7424,49.841395,5.009864,3.5,32,2.5,3.5,3,3.5,4.5,"La Vieille Ardenne, Bouillon"
